-----------------------------------------------------------
Server listening on 5201
-----------------------------------------------------------
Accepted connection from 192.168.178.170, port 52294
[  6] local 192.168.178.117 port 5201 connected to 192.168.178.170 port 56875
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
[  6]  56.01-57.01  sec   620 KBytes  5.06 Mbits/sec  0.742 ms  2/437 (0.46%)  
[  6]  57.01-58.02  sec  1.47 MBytes  12.3 Mbits/sec  2.349 ms  1/1059 (0.094%)  
[  6]  58.02-59.01  sec  2.05 MBytes  17.3 Mbits/sec  3.621 ms  0/1470 (0%)  
[  6]  59.01-60.00  sec  1.08 MBytes  9.08 Mbits/sec  1.055 ms  7/780 (0.9%)  
[  6]  60.00-61.00  sec  1.55 MBytes  13.0 Mbits/sec  0.621 ms  0/1113 (0%)  
[  6]  61.00-62.00  sec  1.71 MBytes  14.4 Mbits/sec  1.813 ms  0/1230 (0%)  
[  6]  62.00-63.00  sec  1.39 MBytes  11.6 Mbits/sec  0.563 ms  1/997 (0.1%)  
[  6]  63.00-64.01  sec  1.09 MBytes  9.01 Mbits/sec  1.218 ms  0/781 (0%)  
[  6]  64.01-65.00  sec   848 KBytes  7.02 Mbits/sec  3.755 ms  3/598 (0.5%)  
[  6]  65.00-66.01  sec  1.15 MBytes  9.62 Mbits/sec  1.584 ms  0/829 (0%)  
[  6]  66.01-67.01  sec  1.16 MBytes  9.69 Mbits/sec  2.877 ms  1/833 (0.12%)  
[  6]  67.01-68.00  sec   503 KBytes  4.17 Mbits/sec  7.268 ms  3/356 (0.84%)  
[  6]  68.00-69.00  sec  1.12 MBytes  9.36 Mbits/sec  0.964 ms  5/809 (0.62%)  
[  6]  69.00-70.00  sec  1.02 MBytes  8.59 Mbits/sec  1.589 ms  0/735 (0%)  
[  6]  70.00-71.01  sec   421 KBytes  3.44 Mbits/sec  4.618 ms  3/298 (1%)  
[  6]  71.01-72.01  sec  95.5 KBytes   779 Kbits/sec  22.978 ms  10/77 (13%)  
[  6]  72.01-73.01  sec  2.85 KBytes  23.4 Kbits/sec  37.755 ms  0/2 (0%)  
[  6]  73.01-74.01  sec  0.00 Bytes  0.00 bits/sec  37.755 ms  0/0 (0%)  
[  6]  74.01-75.00  sec  1.43 KBytes  11.8 Kbits/sec  164.729 ms  28/29 (97%)  
[  6]  75.00-76.00  sec  32.8 KBytes   269 Kbits/sec  286.342 ms  49/72 (68%)  
[  6]  76.00-77.00  sec   392 KBytes  3.22 Mbits/sec  3.626 ms  0/275 (0%)  
[  6]  77.00-78.01  sec  47.1 KBytes   382 Kbits/sec  3.247 ms  0/33 (0%)  
[  6]  78.01-79.00  sec  78.4 KBytes   646 Kbits/sec  19.267 ms  35/90 (39%)  
[  6]  79.00-80.00  sec   245 KBytes  2.01 Mbits/sec  3.701 ms  1/173 (0.58%)  
[  6]  80.00-81.01  sec  1.52 MBytes  12.7 Mbits/sec  0.825 ms  0/1094 (0%)  
[  6]  81.01-82.00  sec  1.78 MBytes  14.9 Mbits/sec  2.788 ms  0/1275 (0%)  
[  6]  82.00-83.00  sec  1.35 MBytes  11.4 Mbits/sec  2.436 ms  1/974 (0.1%)  
[  6]  83.00-84.00  sec  2.71 MBytes  22.6 Mbits/sec  0.398 ms  0/1943 (0%)  
[  6]  84.00-85.00  sec  3.51 MBytes  29.5 Mbits/sec  0.300 ms  1/2522 (0.04%)  
[  6]  85.00-86.00  sec  3.00 MBytes  25.2 Mbits/sec  2.466 ms  1/2157 (0.046%)  
[  6]  86.00-87.00  sec  3.44 MBytes  28.8 Mbits/sec  0.315 ms  1/2469 (0.041%)  
[  6]  87.00-88.00  sec  3.08 MBytes  25.7 Mbits/sec  0.823 ms  0/2209 (0%)  
[  6]  88.00-89.00  sec  1.92 MBytes  16.1 Mbits/sec  0.486 ms  1/1382 (0.072%)  
[  6]  89.00-90.00  sec  1.83 MBytes  15.4 Mbits/sec  1.059 ms  0/1312 (0%)  
[  6]  90.00-91.00  sec  1.19 MBytes  9.99 Mbits/sec  3.009 ms  9/864 (1%)  
[  6]  91.00-92.00  sec  1.52 MBytes  12.7 Mbits/sec  2.820 ms  1/1091 (0.092%)  
[  6]  92.00-93.01  sec  1.50 MBytes  12.5 Mbits/sec  3.578 ms  0/1075 (0%)  
[  6]  93.01-94.01  sec   794 KBytes  6.51 Mbits/sec  1.311 ms  6/563 (1.1%)  
[  6]  94.01-95.00  sec   279 KBytes  2.29 Mbits/sec  1.003 ms  7/203 (3.4%)  
[  6]  95.00-96.00  sec   721 KBytes  5.92 Mbits/sec  3.549 ms  1/507 (0.2%)  
[  6]  96.00-97.00  sec   807 KBytes  6.61 Mbits/sec  0.675 ms  5/571 (0.88%)  
[  6]  97.00-98.00  sec  1.47 MBytes  12.3 Mbits/sec  3.140 ms  0/1057 (0%)  
[  6]  98.00-99.01  sec  1.66 MBytes  13.9 Mbits/sec  0.600 ms  0/1195 (0%)  
[  6]  99.01-100.00 sec   463 KBytes  3.82 Mbits/sec  16.307 ms  1/326 (0.31%)  
[  6] 100.00-101.00 sec   412 KBytes  3.38 Mbits/sec  3.033 ms  6/295 (2%)  
[  6] 101.00-102.01 sec   234 KBytes  1.91 Mbits/sec  28.182 ms  27/191 (14%)  
[  6] 102.01-103.01 sec   836 KBytes  6.85 Mbits/sec  1.720 ms  1/587 (0.17%)  
[  6] 103.01-104.00 sec   954 KBytes  7.87 Mbits/sec  2.437 ms  0/669 (0%)  
[  6] 104.00-105.00 sec  1.03 MBytes  8.60 Mbits/sec  1.635 ms  1/738 (0.14%)  
[  6] 105.00-106.01 sec   513 KBytes  4.15 Mbits/sec  1.808 ms  1/361 (0.28%)  
[  6] 106.01-107.00 sec   716 KBytes  5.93 Mbits/sec  1.449 ms  0/502 (0%)  
[  6] 107.00-108.00 sec   820 KBytes  6.73 Mbits/sec  0.732 ms  2/577 (0.35%)  
[  6] 108.00-109.00 sec   880 KBytes  7.21 Mbits/sec  0.819 ms  0/617 (0%)  
[  6] 109.00-110.00 sec  1.07 MBytes  8.99 Mbits/sec  3.240 ms  0/769 (0%)  
[  6] 110.00-111.00 sec   912 KBytes  7.47 Mbits/sec  1.413 ms  0/640 (0%)  
[  6] 111.00-112.00 sec   610 KBytes  5.00 Mbits/sec  1.144 ms  3/431 (0.7%)  
[  6] 112.00-113.00 sec   967 KBytes  7.90 Mbits/sec  2.689 ms  1/679 (0.15%)  
[  6] 113.00-114.00 sec   974 KBytes  7.99 Mbits/sec  3.789 ms  0/683 (0%)  
[  6] 114.00-115.00 sec  1.06 MBytes  8.92 Mbits/sec  1.126 ms  0/764 (0%)  
[  6] 115.00-116.00 sec   711 KBytes  5.82 Mbits/sec  7.657 ms  1/500 (0.2%)  
[  6] 116.00-117.00 sec   925 KBytes  7.59 Mbits/sec  1.104 ms  1/650 (0.15%)  
[  6] 117.00-118.00 sec   932 KBytes  7.63 Mbits/sec  0.883 ms  1/655 (0.15%)  
[  6] 118.00-119.00 sec   900 KBytes  7.38 Mbits/sec  3.218 ms  0/631 (0%)  
[  6] 119.00-120.00 sec   888 KBytes  7.26 Mbits/sec  1.215 ms  1/624 (0.16%)  
[  6] 120.00-121.01 sec   884 KBytes  7.19 Mbits/sec  0.805 ms  1/621 (0.16%)  
[  6] 121.01-122.00 sec   955 KBytes  7.90 Mbits/sec  2.701 ms  0/670 (0%)  
[  6] 122.00-123.00 sec   565 KBytes  4.61 Mbits/sec  6.279 ms  5/401 (1.2%)  
[  6] 123.00-124.00 sec   816 KBytes  6.68 Mbits/sec  2.908 ms  0/572 (0%)  
[  6] 124.00-125.00 sec   682 KBytes  5.60 Mbits/sec  3.153 ms  1/479 (0.21%)  
[  6] 125.00-126.00 sec   942 KBytes  7.73 Mbits/sec  1.332 ms  0/661 (0%)  
[  6] 126.00-127.00 sec   462 KBytes  3.78 Mbits/sec  2.031 ms  0/324 (0%)  
[  6] 127.00-128.00 sec  1.01 MBytes  8.47 Mbits/sec  2.591 ms  1/724 (0.14%)  
[  6] 128.00-129.00 sec   883 KBytes  7.22 Mbits/sec  1.167 ms  2/621 (0.32%)  
[  6] 129.00-130.00 sec   883 KBytes  7.23 Mbits/sec  3.178 ms  1/620 (0.16%)  
[  6] 130.00-131.00 sec  1.08 MBytes  9.02 Mbits/sec  2.342 ms  1/776 (0.13%)  
[  6] 131.00-132.00 sec  1.06 MBytes  8.92 Mbits/sec  1.043 ms  0/761 (0%)  
[  6] 132.00-133.00 sec   723 KBytes  5.91 Mbits/sec  0.888 ms  0/507 (0%)  
[  6] 133.00-134.01 sec   844 KBytes  6.86 Mbits/sec  3.946 ms  2/594 (0.34%)  
[  6] 134.01-135.00 sec   813 KBytes  6.72 Mbits/sec  1.323 ms  0/570 (0%)  
[  6] 135.00-136.00 sec   880 KBytes  7.19 Mbits/sec  1.031 ms  1/618 (0.16%)  
[  6] 136.00-137.01 sec   680 KBytes  5.52 Mbits/sec  2.664 ms  0/477 (0%)  
[  6] 137.01-138.00 sec   737 KBytes  6.11 Mbits/sec  0.964 ms  0/517 (0%)  
[  6] 138.00-139.00 sec  1.01 MBytes  8.41 Mbits/sec  1.070 ms  2/724 (0.28%)  
[  6] 139.00-140.00 sec   991 KBytes  8.12 Mbits/sec  2.546 ms  0/695 (0%)  
[  6] 140.00-141.00 sec   982 KBytes  8.06 Mbits/sec  0.836 ms  0/689 (0%)  
[  6] 141.00-142.00 sec   757 KBytes  6.20 Mbits/sec  2.383 ms  1/532 (0.19%)  
[  6] 142.00-143.01 sec   721 KBytes  5.84 Mbits/sec  2.903 ms  1/507 (0.2%)  
[  6] 143.01-144.00 sec   998 KBytes  8.28 Mbits/sec  1.165 ms  2/702 (0.28%)  
[  6] 144.00-145.00 sec  1019 KBytes  8.33 Mbits/sec  1.944 ms  0/715 (0%)  
[  6] 145.00-146.00 sec   880 KBytes  7.24 Mbits/sec  3.199 ms  1/618 (0.16%)  
[  6] 146.00-147.00 sec   719 KBytes  5.88 Mbits/sec  1.652 ms  1/505 (0.2%)  
[  6] 147.00-148.00 sec   379 KBytes  3.11 Mbits/sec  3.674 ms  0/266 (0%)  
[  6] 148.00-149.00 sec   241 KBytes  1.97 Mbits/sec  6.918 ms  0/169 (0%)  
iperf3: OUT OF ORDER - incoming packet = 103303 and received packet = 103756 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103304 and received packet = 103756 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103305 and received packet = 103756 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103306 and received packet = 103756 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103307 and received packet = 103756 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103308 and received packet = 103756 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103309 and received packet = 103760 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103310 and received packet = 103760 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103311 and received packet = 103760 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103312 and received packet = 103760 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103313 and received packet = 103760 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103314 and received packet = 103760 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103315 and received packet = 103760 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103316 and received packet = 103760 AND SP = 6
[  6] 149.00-150.00 sec   288 KBytes  2.36 Mbits/sec  795.376 ms  453/641 (71%)  
iperf3: OUT OF ORDER - incoming packet = 103317 and received packet = 103760 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103318 and received packet = 103760 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103319 and received packet = 103760 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103320 and received packet = 103760 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103321 and received packet = 103760 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103322 and received packet = 103761 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103323 and received packet = 103762 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103324 and received packet = 103762 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103325 and received packet = 103762 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103326 and received packet = 103762 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103327 and received packet = 103762 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103328 and received packet = 103762 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103329 and received packet = 103762 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103330 and received packet = 103762 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103332 and received packet = 103762 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103333 and received packet = 103762 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103334 and received packet = 103762 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103335 and received packet = 103762 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103336 and received packet = 103762 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103337 and received packet = 103762 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103338 and received packet = 103762 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103339 and received packet = 103762 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103340 and received packet = 103762 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103341 and received packet = 103762 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103342 and received packet = 103762 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103344 and received packet = 103768 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103349 and received packet = 103768 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103350 and received packet = 103768 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103351 and received packet = 103768 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103352 and received packet = 103768 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103353 and received packet = 103768 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103354 and received packet = 103768 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103355 and received packet = 103768 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103356 and received packet = 103768 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103357 and received packet = 103768 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103358 and received packet = 103768 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103359 and received packet = 103768 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103360 and received packet = 103768 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103361 and received packet = 103768 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103362 and received packet = 103774 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103363 and received packet = 103774 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103364 and received packet = 103774 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103365 and received packet = 103775 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103366 and received packet = 103775 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103367 and received packet = 103775 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103368 and received packet = 103775 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103369 and received packet = 103775 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103370 and received packet = 103775 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103371 and received packet = 103775 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103372 and received packet = 103775 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103373 and received packet = 103775 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103374 and received packet = 103775 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103375 and received packet = 103777 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103376 and received packet = 103779 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103377 and received packet = 103780 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103378 and received packet = 103780 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103379 and received packet = 103780 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103380 and received packet = 103780 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103381 and received packet = 103780 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103382 and received packet = 103780 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103383 and received packet = 103780 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103384 and received packet = 103780 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103385 and received packet = 103780 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103386 and received packet = 103780 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103387 and received packet = 103780 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103388 and received packet = 103780 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103389 and received packet = 103780 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103390 and received packet = 103780 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103391 and received packet = 103780 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103392 and received packet = 103780 AND SP = 6
[  6] 150.00-151.00 sec   214 KBytes  1.75 Mbits/sec  20.119 ms  10/90 (11%)  
iperf3: OUT OF ORDER - incoming packet = 103393 and received packet = 103907 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103394 and received packet = 103907 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103395 and received packet = 103907 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103396 and received packet = 103907 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103397 and received packet = 103907 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103398 and received packet = 103907 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103399 and received packet = 103907 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103400 and received packet = 103907 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103401 and received packet = 103907 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103402 and received packet = 103907 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103403 and received packet = 103907 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103404 and received packet = 103907 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103405 and received packet = 103907 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103406 and received packet = 103907 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103407 and received packet = 103907 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103408 and received packet = 103907 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103409 and received packet = 103907 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103410 and received packet = 103907 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103411 and received packet = 103907 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103412 and received packet = 103907 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103413 and received packet = 103907 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103414 and received packet = 103907 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103415 and received packet = 103907 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103416 and received packet = 103907 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103417 and received packet = 103907 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103418 and received packet = 103907 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103419 and received packet = 103907 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103420 and received packet = 103907 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103421 and received packet = 103907 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103422 and received packet = 103907 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103423 and received packet = 103939 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103424 and received packet = 103939 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103425 and received packet = 103939 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103426 and received packet = 103939 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103427 and received packet = 103939 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103428 and received packet = 103939 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103429 and received packet = 103939 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103430 and received packet = 103939 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103431 and received packet = 103939 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103432 and received packet = 103939 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103433 and received packet = 103939 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103434 and received packet = 103939 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103435 and received packet = 103939 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103436 and received packet = 103939 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103437 and received packet = 103939 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103438 and received packet = 103939 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103439 and received packet = 103939 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103440 and received packet = 103939 AND SP = 6
iperf3: OUT OF ORDER - incoming packet = 103441 and received packet = 103939 AND SP = 6
